x,y,ln(x),ln(y),ln(x)ln(y),ln(x)^2
1991.8750,353.89,7.5968,5.8690,44.5857,57.7119
1991.9583,355.21,7.5969,5.8727,44.6142,57.7125
1992.0417,356.34,7.5969,5.8759,44.6386,57.7131
1992.1250,357.21,7.5970,5.8783,44.6574,57.7138
1992.2083,357.97,7.5970,5.8804,44.6738,57.7144
1992.2917,359.22,7.5970,5.8839,44.7005,57.7150
1992.3750,359.71,7.5971,5.8853,44.7111,57.7157
1992.4583,359.44,7.5971,5.8845,44.7056,57.7163
1992.5417,357.15,7.5972,5.8782,44.6573,57.7169
1992.6250,354.99,7.5972,5.8721,44.6115,57.7176
1992.7083,353.01,7.5972,5.8665,44.5692,57.7182
1992.7917,353.40,7.5973,5.8676,44.5779,57.7188
1992.8750,354.42,7.5973,5.8705,44.6000,57.7195
1992.9583,355.68,7.5974,5.8740,44.6272,57.7201
1993.0417,357.10,7.5974,5.8780,44.6577,57.7207
1993.1250,357.42,7.5975,5.8789,44.6648,57.7214
1993.2083,358.59,7.5975,5.8822,44.6899,57.7220
1993.2917,359.39,7.5975,5.8844,44.7070,57.7227
1993.3750,360.30,7.5976,5.8869,44.7265,57.7233
1993.4583,359.64,7.5976,5.8851,44.7128,57.7239
1993.5417,357.45,7.5977,5.8790,44.6667,57.7246
1993.6250,355.76,7.5977,5.8743,44.6309,57.7252
1993.7083,354.14,7.5978,5.8697,44.5965,57.7258
1993.7917,354.23,7.5978,5.8699,44.5986,57.7265
1993.8750,355.53,7.5978,5.8736,44.6267,57.7271
1993.9583,357.03,7.5979,5.8778,44.6590,57.7277
1994.0417,358.36,7.5979,5.8815,44.6874,57.7284
1994.1250,359.04,7.5980,5.8834,44.7021,57.7290
1994.2083,360.11,7.5980,5.8864,44.7250,57.7296
1994.2917,361.36,7.5980,5.8899,44.7515,57.7303
1994.3750,361.78,7.5981,5.8910,44.7606,57.7309
1994.4583,360.94,7.5981,5.8887,44.7432,57.7315
1994.5417,359.51,7.5982,5.8847,44.7133,57.7322
1994.6250,357.59,7.5982,5.8794,44.6728,57.7328
1994.7083,355.86,7.5983,5.8745,44.6362,57.7335
1994.7917,356.21,7.5983,5.8755,44.6439,57.7341
1994.8750,357.65,7.5983,5.8796,44.6748,57.7347
1994.9583,359.10,7.5984,5.8836,44.7058,57.7354
1995.0417,360.04,7.5984,5.8862,44.7259,57.7360
1995.1250,361.00,7.5985,5.8889,44.7464,57.7366
1995.2083,361.98,7.5985,5.8916,44.7673,57.7373
1995.2917,363.44,7.5985,5.8956,44.7981,57.7379
1995.3750,363.83,7.5986,5.8967,44.8065,57.7385
1995.4583,363.33,7.5986,5.8953,44.7963,57.7392
1995.5417,361.78,7.5987,5.8910,44.7640,57.7398
1995.6250,359.33,7.5987,5.8842,44.7127,57.7404
1995.7083,358.32,7.5988,5.8814,44.6915,57.7411
1995.7917,358.14,7.5988,5.8809,44.6879,57.7417
1995.8750,359.61,7.5988,5.8850,44.7193,57.7423
1995.9583,360.82,7.5989,5.8884,44.7451,57.7430
1996.0417,362.20,7.5989,5.8922,44.7743,57.7436
1996.1250,363.36,7.5990,5.8954,44.7989,57.7442
1996.2083,364.28,7.5990,5.8979,44.8183,57.7449
1996.2917,364.69,7.5990,5.8990,44.8271,57.7455
1996.3750,365.25,7.5991,5.9006,44.8390,57.7461
1996.4583,365.06,7.5991,5.9001,44.8353,57.7468
