x,y,xy,x^4,x^3,x^2,x^2y
1969.8740,322.85,635973.8209,15057531911671.2480,7643906113.6252,3880403.5759,1252788294.4715667
1969.9562,324.11,638482.5040,15060045385321.3828,7644863061.0779,3880727.4299,1257782567.3108659
1970.0411,325.06,640381.5600,15062641748655.6758,7645851524.9533,3881061.9357,1261577992.8151345
1970.1260,325.99,642241.3747,15065238447686.7734,7646840074.0292,3881396.4559,1265296430.6510172
1970.2027,326.93,644118.3687,15067584635228.0137,7647733218.1242,3881698.6791,1269043749.1540077
1970.2877,328.13,646510.5030,15070185032798.6543,7648723093.9921,3882033.6208,1273811691.9836833
1970.3699,328.08,646438.9568,15072700090338.0117,7649680443.4223,3882357.5428,1273723862.650357
1970.4548,327.67,645658.9243,15075298089725.8555,7650669322.4964,3882692.1188,1272241726.581299
1970.5370,326.34,643065.0446,15077813787211.8477,7651626834.3156,3883016.0684,1267183463.7515395
1970.6219,324.68,639821.5185,15080412447622.5176,7652615881.1198,3883350.6728,1260846296.4315903
1970.7068,323.10,636735.3671,15083011443927.9492,7653605013.1496,3883685.2916,1254818717.7050521
1970.7890,323.06,636683.0943,15085528106709.2930,7654562769.8903,3884009.2825,1254768038.8112342
1970.8740,324.01,638582.8847,15088130826427.7012,7655553234.9748,3884344.3239,1258566404.3790627
1970.9562,325.13,640816.9893,15090648129811.0996,7656511154.2363,3884668.3423,1263022218.1379945
1971.0411,326.17,642894.4756,15093248449008.2676,7657500621.8837,3885003.0179,1267171434.3449235
1971.1260,326.69,643947.1529,15095849104243.1289,7658490174.7748,3885337.7079,1269300975.7860105
1971.2027,327.18,644938.0994,15098198866174.3965,7659384225.7696,3885640.0845,1271303722.8425517
1971.2877,327.78,646148.6823,15100803225258.4980,7660375106.7176,3885975.1962,1273744949.8010254
1971.3699,328.93,648442.7012,15103322114139.4375,7661333428.1605,3886299.2826,1278320423.0341733
1971.4548,328.57,647760.9036,15105924071051.3730,7662323311.2174,3886634.0284,1277031342.7255297
1971.5370,327.36,645402.3523,15108443600528.6680,7663281795.1318,3886958.1424,1272434617.485916
1971.6219,325.43,641624.9149,15111046219134.5215,7664271846.0038,3887292.9166,1265041733.835994
1971.7068,323.36,637571.1108,15113649173976.1230,7665261982.1447,3887627.7052,1257103294.7425554
1971.7890,323.56,637992.0488,15116169669728.7051,7666220711.1048,3887951.8605,1257985703.9901748
1971.8740,324.80,640464.6752,15118776353318.0391,7667212181.5684,3888287.0719,1262915640.945325
1971.9562,326.01,642877.4408,15121297490322.9219,7668171073.1318,3888611.2547,1267726155.1507587
1972.0410,326.77,644403.8376,15123898701734.6895,7669160378.3769,3888945.7057,1270790788.2453802
1972.1257,327.63,646127.5431,15126497180673.5586,7670148601.9241,3889279.7766,1274244733.2076187
1972.2049,327.75,646390.1560,15128927230130.8750,7671072731.9108,3889592.1676,1274813832.9256592
1972.2896,329.72,650303.3269,15131526357002.9492,7672061119.7275,3889926.2663,1282586488.513938
1972.3716,330.07,651020.6940,15134042949989.7520,7673018081.3746,3890249.7285,1284054727.8815587
1972.4563,329.09,649115.6438,15136642735974.5293,7674006636.2811,3890583.8554,1280352240.976775
1972.5383,328.04,647071.4639,15139159967117.2910,7674963759.6985,3890907.3450,1276373245.4429386
1972.6230,326.32,643706.3374,15141760412326.1914,7675952481.7090,3891241.5001,1269789926.3220954
1972.7077,324.84,640814.3693,15144361192528.4863,7676941288.6301,3891575.6696,1264139440.525627
1972.7896,325.20,641551.1779,15146876315118.0117,7677897488.4691,3891898.8059,1265645491.6683257
1972.8743,326.50,644143.4590,15149477754316.8906,7678886462.4152,3892233.0036,1270814075.67556
1972.9563,327.55,646241.8361,15151996586109.1660,7679843991.5315,3892556.5617,1275006901.7880092
1973.0411,328.55,648242.6534,15154601757145.0801,7680834300.4842,3892891.1823,1279009397.94112
1973.1260,329.57,650283.1358,15157210336838.3477,7681825862.5340,3893226.2119,1283090562.6479733
1973.2027,330.30,651748.8518,15159567258437.0664,7682721728.7089,3893528.8953,1286032594.113392
1973.2877,331.50,654144.8725,15162179552614.1543,7683714621.3470,3893864.3470,1290816031.0209827
1973.3699,332.48,656106.0244,15164706115847.3418,7684674888.2951,3894188.7622,1294739879.6649039
1973.4548,332.07,655325.1354,15167315999860.3477,7685666780.8456,3894523.8476,1293254534.0868244
1973.5370,330.87,652984.1872,15169843204990.3223,7686627210.4300,3894848.2904,1288688453.834391
1973.6219,329.31,649933.4279,15172453752040.4512,7687619270.9660,3895183.4042,1282722846.8238013
1973.7068,327.52,646428.4511,15175064636008.8223,7688611416.8573,3895518.5324,1275860229.7205908
1973.7890,327.19,645804.0229,15177592809375.4434,7689572091.7360,3895843.0165,1274680876.575506
1973.8740,328.17,647766.2306,15180207432776.2793,7690565574.4877,3896178.5679,1278608920.619867
1973.9562,328.65,648740.7051,15182736248696.6895,7691526412.1345,3896503.0795,1280585737.0837352
1974.0411,329.36,650170.1767,15185348459587.2754,7692518894.1544,3896838.2645,1283462650.7921662
1974.1260,330.71,652863.2095,15187961007539.2598,7693511461.5477,3897173.4639,1288834236.2384317
1974.2027,331.49,654428.4530,15190321514419.0840,7694408236.0029,3897476.3007,1291974418.91483
1974.2877,332.65,656746.8034,15192937782179.7734,7695402135.2510,3897811.9224,1296607135.9768095
1974.3750,333.19,657842.0062,15195625194848.7852,7696423017.3340,3898156.6406,1298826811.0898438
1974.4583,332.20,655915.0473,15198189805296.0078,7697397207.7790,3898485.5784,1295076909.1573992
1974.5417,331.07,653711.5206,15200757819706.0059,7698372650.0717,3898814.9250,1290780657.2326252
1974.6250,329.15,649947.8187,15203323079798.2617,7699347005.0254,3899143.8906,1283403211.5992186
1974.7083,327.33,646381.2678,15205888664559.2852,7700321442.1894,3899472.8701,1276414454.5661964
1974.7917,327.28,646309.8276,15208457654535.0859,7701297131.5076,3899802.2584,1276327283.1255157
1974.8750,328.31,648371.2113,15211023889105.6641,7702271733.2012,3900131.2656,1280452095.8173437
1974.9583,329.58,650906.7565,15213590448427.2246,7703246417.1154,3900460.2867,1285513701.3034034
1975.0417,330.73,653205.5414,15216160414215.8691,7704222353.4905,3900789.7167,1290108183.0170531
1975.1250,331.46,654674.9325,15218727623511.5234,7705197201.9551,3901118.7656,1293064826.0540624
1975.2083,331.94,655650.6431,15221295157640.3867,7706172132.6507,3901447.8284,1295046592.1554081
1975.2917,333.11,657989.4182,15223866099488.9473,7707148316.1140,3901777.3001,1299721036.4326103
1975.3750,333.95,659676.4812,15226434283756.4648,7708123411.3809,3902106.3906,1303108429.1492188
1975.4583,333.42,658657.3064,15229002792939.4258,7709098588.8892,3902435.4950,1301150042.7558668
1975.5417,331.97,655820.5781,15231574711095.0098,7710075019.4719,3902765.0084,1295600899.8514583
1975.6250,329.95,651857.4688,15234143870581.2070,7711050361.5723,3903094.1406,1287825911.6992188
1975.7083,328.49,649000.4195,15236713355065.0957,7712025785.9245,3903423.2867,1282235515.4444335
1975.7917,328.36,648770.9626,15239286249774.8340,7713002463.6579,3903752.8418,1281836283.1297998
1975.8750,329.38,650813.7075,15241856384726.5625,7713978052.6230,3904082.0156,1285926534.3065624
1975.9583,330.77,653587.7269,15244426844758.2402,7714953723.8505,3904411.2033,1291462093.7284045
1976.0417,331.56,655176.3861,15247000716269.2988,7715930648.7658,3904740.8001,1294655859.6940503
1976.1250,332.74,657535.8325,15249571826933.4375,7716906484.6270,3905070.0156,1299372996.9990625
1976.2083,333.36,658788.7989,15252143262759.7930,7717882402.7608,3905399.2450,1301903892.3094964
1976.2917,334.74,661543.8837,15254718111319.3711,7718859574.8894,3905728.8835,1307403686.459071
1976.3750,334.72,661532.2400,15257290197942.8320,7719835657.6777,3906058.1406,1307435780.8300002
1976.4583,333.97,660077.7785,15259862609810.7871,7720811822.7492,3906387.4116,1304616203.86504
1976.5417,333.08,658346.5094,15262438435666.1133,7721789242.1223,3906717.0918,1301249328.9496973
1976.6250,330.68,653630.3550,15265011498495.8398,7722765571.8691,3907046.3906,1291982100.451875
1976.7083,328.96,650257.9624,15267584886652.3477,7723741983.9095,3907375.7033,1285370311.353913
1976.7917,328.72,649810.9676,15270161690050.6836,7724719650.5584,3907705.4252,1284540927.368092
1976.8750,330.16,652685.0500,15272735729333.6484,7725696227.2949,3908034.7656,1290276758.21875
1976.9583,331.62,655598.9114,15275310094025.6953,7726672886.3354,3908364.1199,1296091709.4541347
1977.0417,332.68,657722.2328,15277887875214.3301,7727650800.2913,3908693.8835,1300344281.175718
1977.1250,333.17,658718.7363,15280462891197.5391,7728627624.0488,3909023.2656,1302369281.4082813
1977.2083,334.96,662285.6922,15283038232672.1387,7729604530.1206,3909352.6616,1309476767.5258145
1977.2917,336.14,664646.8320,15285616991898.3965,7730582691.4149,3909682.4669,1314200664.4200315
